cod_upz;nom_upz;Women [%];Children [%];Teenagers [%];Older People [%];Victim population [%];SES 1 and 2 [% residential area];Mean slope [%];Sidewalk density [%];Cycleway density [%];Street density [%];Accidents with fatalities [1/ha];Accidents with injuries [1/ha];Pollution [PM2.5];Car share;PT share;Bike share;Walking share;Motorcycle share;Commuting Time;Access to Schools;Access to Health;Access to Administration;Access to Culture;Access to UGS;Access to PT;Access to Bike Sharing
49;APOGEO;52,02843418;10,92938661;11,82350818;18,58495543;2,110349041;48,8066258;1,696220525;6,33;0,52;13,27;0,29;5,99;25,207;8,65;31,99;5,33;42,07;5,62;45,10;96,48435986;86,37303638;10,60169661;0;98,54578421;89,37178095;0
50;LA GLORIA;51,77985175;15,147323;14,34515083;13,77010592;3,541120357;100;3,424332039;7,30;0,00;11,00;0,18;4,74;12,143;2,84;39,39;1,53;37,64;10,50;52,14;93,44914444;73,98821197;0;35,15728547;95,31290973;90,88827209;0
51;LOS LIBERTADORES;51,72925277;16,12109841;14,90022566;12,38748447;2,271862877;100;3,460895376;4,82;0,00;9,17;0,09;2,15;15,275;5,38;41,67;1,34;36,83;7,80;55,47;94,70639048;54,82783269;0;40,05695226;98,67310283;91,61966991;0
52;LA FLORA;49,70969183;18,22738326;16,55004714;11,47833854;3,558136073;100;2,9754013;4,11;0,00;9,01;0,04;0,93;14,204;2,21;42,28;0,68;45,67;6,11;58,54;32,80055383;24,30733574;0;0;77,47481287;66,93352572;0
53;MARCO FIDEL SUAREZ;52,7564843;15,13598656;13,93258427;14,04179355;5,977108054;69,5840105;3,087007224;8,26;0,00;14,64;0,28;7,76;16,455;2,87;37,73;3,15;46,23;5,06;40,14;100;99,02727058;34,22432446;0;100;100;0
54;MARRUECOS;47,37457854;13,96514604;13,24856806;11,7942885;2,107486696;93,62311352;2,72103771;5,56;0,00;9,82;0,19;4,56;15,683;3,47;29,43;1,54;56,94;5,78;40,05;99,8861831;82,65927566;11,86345965;0;99,99713594;94,41016616;0
55;DIANA TURBAY;52,12700248;16,31818958;14,89361702;13,46115937;4,126529379;100;2,95850106;9,90;0,04;13,55;0,20;4,97;15,965;5,18;27,83;3,24;50,81;8,09;41,86;100;97,28244791;0;0;100;100;0
56;DANUBIO;51,01036004;16,9692618;15,3007146;8,659007761;2,675488084;100;3,512500547;4,04;0,00;7,26;0,12;2,95;16,030;3,47;33,66;1,82;51,49;5,94;46,97;97,81813106;39,52389875;35,63704109;0;100;94,59993378;0
57;GRAN YOMASA;50,72463768;15,13555337;14,49572955;13,83061036;2,69618784;100;2,890717531;6,73;0,06;9,96;0,29;6,03;14,811;3,69;35,55;1,33;51,77;4,42;50,13;93,75115418;66,9918974;30,65228107;10,67813248;96,66204383;81,97388106;0
58;COMUNEROS;50,39715822;15,79949677;14,95485717;12,48014209;3,850214613;100;2,536418247;5,18;0,12;10,30;0,17;3,54;14,448;3,58;39,81;1,38;50,41;2,07;50,49;84,63242253;44,99961683;2,645266031;40,88889922;85,55695813;78,25513149;0
59;ALFONSO LOPEZ;49,91259717;17,372708;15,26202254;10,8100569;3,946144977;100;2,731004201;7,06;0,08;13,70;0,13;2,66;14,742;2,53;33,33;0,42;56,12;5,06;46,18;98,49326222;31,37389426;0;13,78875362;98,89563603;94,71883097;0
60;PARQUE ENTRENUBES;47,64756202;21,21471343;20,44482464;7,52780154;8,383233533;100;6,16856126;0,00;0,00;0,70;0,00;0,04;14,704;2,37;34,78;0,79;53,75;3,95;58,30;36,10164034;4,46032484;0;0;46,56659677;16,16415268;0
61;CIUDAD USME;50,88470522;17,1137377;16,50152169;9,926392526;3,609597282;100;3,003311186;0,53;0,03;2,48;0,02;0,29;14,742;3,05;36,45;0,95;49,43;4,77;50,59;30,80033445;8,45830618;0;0,032693407;33,85664086;28,50869793;0
62;TUNJUELITO;49,44935517;15,62333961;12,97155002;14,58484278;3,477756847;94,87092731;1,255178291;4,30;0,11;8,00;0,24;6,29;15,189;2,61;25,57;7,13;56,87;4,35;34,76;63,28611677;50,54668285;30,866338;8,698724441;63,6385601;55,14093088;0
63;EL MOCHUELO;50;13,33333333;20;10;100;100;2,675373882;0,29;0,00;1,66;0,08;0,89;15,850;0,00;0,00;100,00;0,00;0,00;20,00;18,56446394;2,512500896;0;1,510861852;40,10953834;35,00630883;0
64;MONTE BLANCO;48,63878327;19,51330798;17,32319392;9,885931559;17,26235741;100;3,941497586;0,06;0,03;1,41;0,01;0,08;14,698;3,29;41,42;2,43;31,20;10,75;59,90;9,726670355;3,692882923;0;0;15,55032471;11,13154554;0
65;ARBORIZADORA;51,42216717;13,10800448;12,78357813;12,60543857;1,439273285;36,22867271;1,724991682;7,01;0,52;11,32;0,31;7,72;22,970;3,67;45,35;3,42;34,84;6,48;53,72;98,66849936;85,38290399;35,26577816;33,80627872;99,99050481;96,35461304;0
66;SAN FRANCISCO;50,28935426;14,65784032;14,02778356;14,14019457;3,823362061;100;2,118288752;10,26;0,30;16,61;0,50;14,85;18,931;3,63;31,89;4,10;48,53;6,33;44,07;100;97,25044009;0,797950859;4,633200841;100;100;0
67;LUCERO;49,58554417;17,74152138;15,96633005;11,66650366;6,206445461;100;3,700777058;5,82;0,04;12,46;0,28;6,68;15,969;2,79;37,36;1,88;48,93;5,07;47,72;94,68681603;71,12512051;0;15,10217527;96,42282088;92,69612784;0
68;EL TESORO;49,4509739;18,18315584;16,46526513;9,691184315;8,287811069;100;3,475424344;5,52;0,00;11,58;0,21;4,07;13,385;3,15;39,16;1,28;45,69;6,29;47,78;97,61165679;54,71750581;0;0;100;98,90234861;0
69;ISMAEL PERDOMO;50,30671901;15,23751215;14,78853795;10,70275267;5,872078366;87,19744254;3,371895433;6,76;0,01;11,88;0,21;5,24;22,223;7,12;31,53;4,24;41,36;8,81;46,49;99,36153006;74,34849323;30,47192746;8,216370188;99,97938499;99,38222719;0
70;JERUSALEM;50,21023296;16,80601276;15,51451239;11,32344801;6,488575562;100;4,077207572;3,64;0,00;7,60;0,09;2,59;19,624;4,00;34,67;3,20;44,28;8,92;48,72;57,62349101;38,12573852;7,145789021;1,290328515;65,73681174;55,34788786;0
71;TIBABUYES;51,56534502;13,72933604;14,32134603;10,44042797;3,237258382;81,9326261;1,388802029;6,25;0,15;8,75;0,10;3,80;14,998;3,66;27,69;13,96;30,21;9,38;49,17;79,7874845;62,43180637;7,63038979;0;84,41151172;76,38969746;0
72;BOLIVIA;54,39809012;7,312444047;10,51148911;19,82333632;0,36168308;0;1,501673061;5,44;0,57;9,07;0,17;4,86;14,702;9,79;34,79;3,67;36,54;8,04;50,74;80,04598366;55,56402509;0;0;95,80701589;84,67450321;0
